x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
677.397,972.909,960.914,799.37,906.091,401.071,718.924,61.507,976.147,291.004,660.228,46.629,843.27,553.96,460.92,85.617,785.457,447.309
677.63,972.966,957.412,804.141,906.224,399.776,718.652,61.85,979.358,295.999,661.142,46.93,840.41,549.159,461.273,85.945,784.747,448.381
677.891,972.926,953.12,809.555,906.172,400.403,719.469,61.54,979.72,298.388,662.893,46.396,839.523,541.44,461.469,86.894,784.76,448.493
677.901,973.009,947.31,817.138,906.582,399.949,718.94,61.509,981.331,300.888,663.235,46.583,839.39,538.929,461.378,89.778,784.876,449.064
677.797,973.073,941.944,826.137,905.9,398.983,718.79,61.836,983.186,306.052,664.001,47.261,840.642,535.077,462.192,97.124,784.773,450.887
677.589,972.847,936.828,833.275,906.608,398.989,718.942,61.6,985.731,313.07,666.617,49.166,844.004,529.221,467.254,102.424,784.22,451.763
678.12,972.934,930.801,842.222,907.216,398.625,719.192,62.189,989.048,317.711,665.984,48.737,846.723,525.93,470.614,110.634,784.444,451.627
677.849,972.988,921.974,851.96,907.391,397.921,719.218,61.516,991.833,326.485,665.047,49.118,850.623,518.572,472.985,116.517,783.844,451.925
677.754,972.825,918.057,857.565,908.048,397.941,718.729,61.588,993.173,330.881,662.622,48.846,853.17,512.382,478.912,126.286,782.834,453.348
677.353,973.08,911.299,861.888,907.918,397.807,717.961,62.172,995.219,332.947,661.868,49.096,856.065,500.078,482.19,134.658,781.9,453.199
677.904,972.989,908.752,864.039,907.758,397.354,718.563,61.522,997.737,341.944,666.334,52.457,857.088,491.59,487.498,142.286,782.235,454.594
677.994,973.013,907.327,866.892,907.605,397.273,718.91,62.517,998.322,346.403,671.487,54.638,858.419,481.721,490.981,147.764,782.934,457.911
678.116,973.014,903.126,873.268,907.298,396.493,720.39,62.707,999.745,352.064,680.009,77.694,860.179,477.186,501.018,156.096,776.89,461.467
677.848,972.618,898.625,876.75,907.39,395.79,720.435,63.239,1003.833,358.722,678.571,78.504,863.003,472.897,510.62,163.746,774.496,463.593
677.871,972.712,894.203,884.964,907.493,396.031,719.959,63.319,1005.352,363.323,678.741,78.494,867.649,468.624,516.213,170.393,767.156,467.881
678.294,972.909,886.113,894.867,907.569,395.978,720.135,63.228,1007.8,368.265,681.844,80.11,874.378,462.26,524.788,179.805,761.147,470.819
677.79,973.046,879.921,900.448,907.262,395.828,719.77,63.325,1009.556,372.266,684.262,80.861,878.131,459.685,531.589,189.392,757.401,475.605
677.739,972.802,877.268,903.088,907.552,396.253,718.509,63.943,1011.049,377.389,688.54,80.351,880.17,455.521,537.914,199.095,752.684,480.229
678.219,973.015,872.896,908.471,907.584,396.624,716.973,63.767,1013.494,382.77,693.201,80.329,881.279,454.625,542.797,204.506,748.64,486.571
677.901,972.925,865.26,915.039,908.312,397.083,716.903,63.259,1014.792,388.477,693.513,80.728,884.135,452.177,549.73,213.806,743.488,490.403
678.104,972.855,860.804,919.128,908.247,396.64,716.833,62.751,1015.924,393.517,693.825,81.127,884.87,449.834,552.851,221.247,741.844,491.66
677.782,972.799,855.005,922.249,908.511,395.577,716.764,62.242,1017.556,400.708,694.137,81.526,882.885,452.997,555.325,226.178,740.509,493.164
678.346,972.889,850.856,925.191,908.219,395.197,716.694,61.734,1019.804,406.171,694.449,81.926,882.235,452.324,562.459,234.523,740.092,494.192
678.19,972.755,848.995,925.373,908.333,395.204,716.624,61.226,1020.983,410.407,694.761,82.325,883.148,448.387,565.985,240.216,739.764,494.618
678.056,972.981,851.575,925.061,908.089,394.598,715.328,62.343,1021.042,412.323,697.464,87.608,883.18,449.423,569.195,247.249,739.764,494.049
677.717,972.941,852.493,925.797,908.192,394.339,713.893,63.096,1019.21,418.221,699.363,90.525,883.245,448.878,571.222,256.843,739.976,494.292
678.471,972.948,852.635,927.077,908.077,395.358,716.379,60.747,1019.069,421.638,701.015,92.172,883.017,447.072,574.47,274.127,739.427,495.003
678.293,972.84,852.092,928.953,908.126,395.569,716.067,61.019,1019.659,424.68,703.191,93.792,879.618,447.394,575.824,287.16,739.003,494.981
678.295,972.945,848.897,932.621,907.392,394.147,715.201,62.355,1023.468,428.45,705.728,95.113,878.949,446.609,576.988,296.507,739.518,495.001
677.893,972.843,846.341,935.719,907.645,393.918,715.479,62.305,1025.659,434.754,706.382,96.414,876.166,446.891,579.035,308.058,738.975,495.232
678.095,972.998,844.097,936.352,907.481,394.089,715.684,61.154,1027.075,438.173,707.039,96.65,874.294,443.344,579.719,319.878,739.045,495.092
